2016-05-02 16:05:10 status half-installed libc-dev-bin:amd64 2.23-0ubuntu3
2016-05-02 16:05:10 status unpacked libc-dev-bin:amd64 2.23-0ubuntu3
2016-05-02 16:05:10 status unpacked libc-dev-bin:amd64 2.23-0ubuntu3
2016-05-02 16:05:10 install linux-libc-dev:amd64 <none> 4.4.0-21.37
2016-05-02 16:05:10 status half-installed linux-libc-dev:amd64 4.4.0-21.37
2016-05-02 16:05:10 status unpacked linux-libc-dev:amd64 4.4.0-21.37
2016-05-02 16:05:10 status unpacked linux-libc-dev:amd64 4.4.0-21.37
2016-05-02 16:05:10 install libc6-dev:amd64 <none> 2.23-0ubuntu3
2016-05-02 16:05:10 status half-installed libc6-dev:amd64 2.23-0ubuntu3
2016-05-02 16:05:11 status unpacked libc6-dev:amd64 2.23-0ubuntu3
2016-05-02 16:05:11 status unpacked libc6-dev:amd64 2.23-0ubuntu3
2016-05-02 16:05:11 install libisl15:amd64 <none> 0.16.1-1
2016-05-02 16:05:11 status half-installed libisl15:amd64 0.16.1-1
2016-05-02 16:05:11 status unpacked libisl15:amd64 0.16.1-1
2016-05-02 16:05:11 status unpacked libisl15:amd64 0.16.1-1
2016-05-02 16:05:11 install cpp-5:amd64 <none> 5.3.1-14ubuntu2
2016-05-02 16:05:11 status half-installed cpp-5:amd64 5.3.1-14ubuntu2
2016-05-02 16:05:12 status unpacked cpp-5:amd64 5.3.1-14ubuntu2
2016-05-02 16:05:12 status unpacked cpp-5:amd64 5.3.1-14ubuntu2
2016-05-02 16:05:13 install cpp:amd64 <none> 4:5.3.1-1ubuntu1
2016-05-02 16:05:13 status half-installed cpp:amd64 4:5.3.1-1ubuntu1
2016-05-02 16:05:13 status unpacked cpp:amd64 4:5.3.1-1ubuntu1
2016-05-02 16:05:13 status unpacked cpp:amd64 4:5.3.1-1ubuntu1
2016-05-02 16:05:13 install libcc1-0:amd64 <none> 5.3.1-14ubuntu2
2016-05-02 16:05:13 status half-installed libcc1-0:amd64 5.3.1-14ubuntu2
2016-05-02 16:05:13 status unpacked libcc1-0:amd64 5.3.1-14ubuntu2
2016-05-02 16:05:13 status unpacked libcc1-0:amd64 5.3.1-14ubuntu2
2016-05-02 16:05:14 install libgomp1:amd64 <none> 5.3.1-14ubuntu2
2016-05-02 16:05:14 status half-installed libgomp1:amd64 5.3.1-14ubuntu2
2016-05-02 16:05:14 status unpacked libgomp1:amd64 5.3.1-14ubuntu2
2016-05-02 16:05:14 status unpacked libgomp1:amd64 5.3.1-14ubuntu2
2016-05-02 16:05:14 install libitm1:amd64 <none> 5.3.1-14ubuntu2
2016-05-02 16:05:14 status half-installed libitm1:amd64 5.3.1-14ubuntu2
2016-05-02 16:05:14 status unpacked libitm1:amd64 5.3.1-14ubuntu2
2016-05-02 16:05:14 status unpacked libitm1:amd64 5.3.1-14ubuntu2
2016-05-02 16:05:15 install libatomic1:amd64 <none> 5.3.1-14ubuntu2
2016-05-02 16:05:15 status half-installed libatomic1:amd64 5.3.1-14ubuntu2
2016-05-02 16:05:15 status unpacked libatomic1:amd64 5.3.1-14ubuntu2
2016-05-02 16:05:15 status unpacked libatomic1:amd64 5.3.1-14ubuntu2
2016-05-02 16:05:15 install libasan2:amd64 <none> 5.3.1-14ubuntu2
2016-05-02 16:05:15 status half-installed libasan2:amd64 5.3.1-14ubuntu2
2016-05-02 16:05:15 status unpacked libasan2:amd64 5.3.1-14ubuntu2
2016-05-02 16:05:16 status unpacked libasan2:amd64 5.3.1-14ubuntu2
2016-05-02 16:05:16 install liblsan0:amd64 <none> 5.3.1-14ubuntu2
2016-05-02 16:05:16 status half-installed liblsan0:amd64 5.3.1-14ubuntu2
2016-05-02 16:05:16 status unpacked liblsan0:amd64 5.3.1-14ubuntu2
2016-05-02 16:05:16 status unpacked liblsan0:amd64 5.3.1-14ubuntu2
2016-05-02 16:05:16 install libtsan0:amd64 <none> 5.3.1-14ubuntu2
2016-05-02 16:05:16 status half-installed libtsan0:amd64 5.3.1-14ubuntu2
2016-05-02 16:05:16 status unpacked libtsan0:amd64 5.3.1-14ubuntu2
2016-05-02 16:05:16 status unpacked libtsan0:amd64 5.3.1-14ubuntu2
2016-05-02 16:05:17 install libubsan0:amd64 <none> 5.3.1-14ubuntu2
2016-05-02 16:05:17 status half-installed libubsan0:amd64 5.3.1-14ubuntu2
2016-05-02 16:05:17 status unpacked libubsan0:amd64 5.3.1-14ubuntu2
2016-05-02 16:05:17 status unpacked libubsan0:amd64 5.3.1-14ubuntu2
2016-05-02 16:05:17 install libcilkrts5:amd64 <none> 5.3.1-14ubuntu2
2016-05-02 16:05:17 status half-installed libcilkrts5:amd64 5.3.1-14ubuntu2
2016-05-02 16:05:17 status unpacked libcilkrts5:amd64 5.3.1-14ubuntu2
2016-05-02 16:05:17 status unpacked libcilkrts5:amd64 5.3.1-14ubuntu2
2016-05-02 16:05:18 install libmpx0:amd64 <none> 5.3.1-14ubuntu2
